#,Status,Name,Preview,Filled,Animated,Category,Creative Freedom,Brief,Keywords,FigmaPath,Style,NodeId,HasOutlined,HasFilled,File
177,To Do,global_physical_card,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/177-global_physical_card.png"")",FALSE,FALSE,Financial,,,,outlined/financial/cards/global_physical_card,outlined,147:2027,True,False,177-global_physical_card.png
178,To Do,meal,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/178-meal.png"")",FALSE,FALSE,Categories,,,,outlined/categories/transactions/meal,outlined,147:2079,True,False,178-meal.png
179,To Do,soccer_ball,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/179-soccer_ball.png"")",FALSE,FALSE,Objects,,,,outlined/objects/other/soccer_ball,outlined,147:1706,True,True,179-soccer_ball.png
180,To Do,blender,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/180-blender.png"")",FALSE,FALSE,Categories,,,,outlined/categories/travel/blender,outlined,4635:1700,True,False,180-blender.png
181,To Do,triangle_down,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/181-triangle_down.png"")",TRUE,FALSE,Actions,,,,filled/actions/common actions/triangle_down,filled,147:1814,False,True,181-triangle_down.png
182,To Do,dishwasher,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/182-dishwasher.png"")",FALSE,FALSE,Categories,,,,outlined/categories/travel/dishwasher,outlined,147:2148,True,False,182-dishwasher.png
183,To Do,leaf,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/183-leaf.png"")",FALSE,FALSE,Objects,,,,outlined/objects/other/leaf,outlined,15375:2578,True,False,183-leaf.png
184,To Do,armchair,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/184-armchair.png"")",FALSE,FALSE,Objects,,,,outlined/objects/other/armchair,outlined,147:1642,True,False,184-armchair.png
185,To Do,fan,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/185-fan.png"")",FALSE,FALSE,Categories,,,,outlined/categories/travel/fan,outlined,147:2133,True,False,185-fan.png
186,To Do,youtube,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/186-youtube.png"")",FALSE,FALSE,Social,,,,outlined/social/youtube,outlined,147:1473,True,True,186-youtube.png
187,To Do,card_shield,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/187-card_shield.png"")",FALSE,FALSE,Financial,,,,outlined/financial/cards/card_shield,outlined,188:1198,True,False,187-card_shield.png
188,To Do,gem,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/188-gem.png"")",FALSE,FALSE,Financial,,,,outlined/financial/other/gem,outlined,147:1959,True,False,188-gem.png
189,To Do,flag,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/189-flag.png"")",FALSE,FALSE,Objects,,,,outlined/objects/security/flag,outlined,147:1751,True,False,189-flag.png
190,To Do,first_aid,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/190-first_aid.png"")",FALSE,FALSE,Categories,,,,outlined/categories/travel/first_aid,outlined,147:2163,True,False,190-first_aid.png
191,To Do,home_temporary,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/191-home_temporary.png"")",FALSE,FALSE,Objects,,,,outlined/objects/building/home_temporary,outlined,147:1778,True,False,191-home_temporary.png
192,To Do,phone_outgoing,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/192-phone_outgoing.png"")",FALSE,FALSE,System,,,,outlined/system/phone_outgoing,outlined,147:1832,True,False,192-phone_outgoing.png
193,To Do,anticipate_installments,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/193-anticipate_installments.png"")",FALSE,FALSE,Financial,,,,outlined/financial/other/anticipate_installments,outlined,147:1925,True,False,193-anticipate_installments.png
194,To Do,linkedin,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/194-linkedin.png"")",FALSE,FALSE,Social,,,,outlined/social/linkedin,outlined,147:1477,True,True,194-linkedin.png
195,To Do,lifestyle,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/195-lifestyle.png"")",FALSE,FALSE,Products,,,,outlined/products/lifestyle,outlined,7266:1734,True,True,195-lifestyle.png
196,To Do,shopping_cart,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/196-shopping_cart.png"")",FALSE,FALSE,Categories,,,,outlined/categories/transactions/shopping_cart,outlined,147:2056,True,False,196-shopping_cart.png
