Rank,Name,Preview,File
94,sentiment_satisfied,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/094-sentiment_satisfied.png"")",094-sentiment_satisfied.png
95,shared_physical_card,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/095-shared_physical_card.png"")",095-shared_physical_card.png
96,shield,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/096-shield.png"")",096-shield.png
97,shield_check,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/097-shield_check.png"")",097-shield_check.png
98,sparkle,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/098-sparkle.png"")",098-sparkle.png
99,spinner,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/099-spinner.png"")",099-spinner.png
100,star,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/100-star.png"")",100-star.png
101,sun,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/101-sun.png"")",101-sun.png
102,truck,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/102-truck.png"")",102-truck.png
103,undo,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/103-undo.png"")",103-undo.png
104,unfold_more,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/104-unfold_more.png"")",104-unfold_more.png
105,user_arrow_up,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/105-user_arrow_up.png"")",105-user_arrow_up.png
106,block,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/106-block.png"")",106-block.png
107,money_add,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/107-money_add.png"")",107-money_add.png
108,chat,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/108-chat.png"")",108-chat.png
109,line_chart,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/109-line_chart.png"")",109-line_chart.png
110,target,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/110-target.png"")",110-target.png
111,bolt,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/111-bolt.png"")",111-bolt.png
112,link,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/112-link.png"")",112-link.png
113,yield,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/113-yield.png"")",113-yield.png
